title, date, reviews, discount, original price, discounted price
FTL: Faster Than Light,14 Sep 2012,Overwhelmingly Positive,,CDN$ 10.99,
Papers, Please,8 Aug 2013,Overwhelmingly Positive,,CDN$ 10.99,
Forgotton Anne,15 May 2018,Very Positive,,CDN$ 22.99,
STAR WARS™ Empire at War - Gold Pack,25 May 2010,Very Positive,,CDN$ 22.79,
Russian Fishing 4,15 Jun 2018,Mixed,,Free To Play,
Monster Energy Supercross - The Official Videogame,13 Feb 2018,Mixed,-70%,CDN$ 56.99,CDN$ 17.09							
BattleBlock Theater®,15 May 2014,Overwhelmingly Positive,,CDN$ 16.99,
Tree of Savior (English Ver.),28 Mar 2016,Mixed,,Free to Play,
Rocksmith® 2014 Edition - Remastered,22 Oct 2013,Very Positive,,CDN$ 39.99,
Trailmakers,30 Jan 2018,Very Positive,,CDN$ 21.99,
DARK SOULS™ II,25 Apr 2014,Very Positive,,CDN$ 43.99,
Katamari Damacy REROLL,6 Dec 2018,Very Positive,,CDN$ 39.99,
Kingdoms of Amalur: Reckoning™,7 Feb 2012,Very Positive,,CDN$ 19.99,
RollerCoaster Tycoon® Classic,28 Sep 2017,Mostly Positive,,CDN$ 21.99,
SPINTIRES™,12 Jun 2014,Very Positive,,CDN$ 13.49,
Street Fighter V,15 Feb 2016,Mixed,,CDN$ 24.99,
Europa Universalis IV,13 Aug 2013,Very Positive,,CDN$ 43.99,
Battlestar Galactica Deadlock,31 Aug 2017,Mostly Positive,,CDN$ 43.99,
Orwell: Keeping an Eye On You,27 Oct 2016,Very Positive,,CDN$ 11.49,
Men of War: Assault Squad 2,15 May 2014,Very Positive,,CDN$ 32.99,
Fable Anniversary,12 Sep 2014,Mostly Positive,,CDN$ 38.69,
Survivor Pass: Vikendi,18 Dec 2018,Mixed,,CDN$ 12.99,
The Jackbox Party Pack 2,13 Oct 2015,Very Positive,,CDN$ 27.99,
Train Sim World®,16 Mar 2017,Mixed,,CDN$ 70.40,
Wizard of Legend,15 May 2018,Very Positive,,CDN$ 18.49,
Bus Simulator 18,13 Jun 2018,Mixed,,CDN$ 45.99,
Action! - Gameplay Recording and Streaming,8 May 2014,Mostly Positive,,CDN$ 45.49,
Steep™,2 Dec 2016,Mostly Positive,,CDN$ 39.99,
Shadow Warrior 2,13 Oct 2016,Very Positive,,CDN$ 43.99,
Injustice™ 2,14 Nov 2017,Mostly Positive,,CDN$ 69.99,
Warhammer 40,000: Dawn of War III,27 Apr 2017,Mixed,,CDN$ 47.99,
Endless Space® 2,18 May 2017,Very Positive,,CDN$ 43.99,
SimplePlanes,17 Dec 2015,Very Positive,,CDN$ 13.99,
Onmyoji,18 Apr 2018,Mixed,,Free To Play,
Phantom Doctrine,14 Aug 2018,Mostly Positive,,CDN$ 45.49,
Mordheim: City of the Damned,19 Nov 2015,Mostly Positive,,CDN$ 43.99,
HELLDIVERS™ A New Hell Edition,7 Dec 2015,Very Positive,,CDN$ 19.99,
Armello,1 Sep 2015,Very Positive,,CDN$ 19.99,
Fallout: New Vegas,19 Oct 2010,Overwhelmingly Positive,,CDN$ 10.99,
Sid Meier's Civilization V: Complete,,Overwhelmingly Positive,,CDN$ 54.41,
The Elder Scrolls IV: Oblivion® Game of the Year Edition Deluxe,16 Jun 2009,Very Positive,,CDN$ 24.99,
Wolcen: Lords of Mayhem,24 Mar 2016,Mostly Positive,,CDN$ 21.99,
DRAGON QUEST HEROES™ Slime Edition,3 Dec 2015,Mixed,,CDN$ 44.99,
Moss,7 Jun 2018,Very Positive,,CDN$ 33.99,
Star Trek Timelines,12 Jul 2017,Mixed,,Free To Play,
Devil May Cry HD Collection,13 Mar 2018,Very Positive,,CDN$ 39.99,
iRacing,12 Jan 2015,Mostly Positive,,CDN$ 10.99,
Accounting+,18 Oct 2018,Mostly Positive,,CDN$ 13.49,
Plague Inc: Evolved,18 Feb 2016,Very Positive,,CDN$ 16.99,
Stellaris: MegaCorp,6 Dec 2018,Mixed,,CDN$ 22.79,
東方天空璋 ～ Hidden Star in Four Seasons.,17 Nov 2017,Overwhelmingly Positive,,CDN$ 17.49,
Command & Conquer: Red Alert 3,8 Jan 2009,Very Positive,,CDN$ 19.99,
Castle Crashers®,26 Sep 2012,Overwhelmingly Positive,,CDN$ 16.99,
Company of Heroes: Tales of Valor,9 Apr 2009,Very Positive,,CDN$ 21.99,
Company of Heroes,13 Oct 2009,Very Positive,,CDN$ 21.99,
Company of Heroes - Legacy Edition,17 Jul 2007,Very Positive,,CDN$ 21.99,
Company of Heroes: Opposing Fronts,27 Sep 2007,Very Positive,,CDN$ 21.99,
Windlands 2,15 Nov 2018,Very Positive,,CDN$ 33.99,
Mega Man 11 / ロックマン11 運命の歯車!!,2 Oct 2018,Very Positive,,CDN$ 39.99,
